"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2022","459.00","465.00","465.00","450.00","0.04K","6.13%"
"Mar 04, 2022","432.50","400.00","440.00","400.00","0.26K","22.26%"
"Mar 03, 2022","353.75","410.00","410.00","380.00","0.17K","-18.96%"
"Mar 02, 2022","436.50","350.00","435.00","350.00","0.37K","38.57%"
"Mar 01, 2022","315.00","260.00","330.00","260.00","0.23K","23.89%"
"Feb 28, 2022","254.25","235.00","261.00","230.00","0.43K","31.74%"
"Feb 25, 2022","193.00","193.00","193.00","193.00","0.01K","-0.05%"
"Feb 24, 2022","193.10","190.00","191.00","190.00","0.01K","1.29%"
"Feb 23, 2022","190.65","190.00","191.00","190.00","0.00K","0.87%"
"Feb 22, 2022","189.00","187.00","189.00","186.90","0.11K","2.08%"
"Feb 21, 2022","185.15","185.00","186.00","185.00","0.04K","0.57%"
"Feb 18, 2022","184.10","184.10","184.10","184.10","0.01K","0.57%"
"Feb 17, 2022","183.05","183.50","183.50","183.50","0.06K","-0.33%"
"Feb 16, 2022","183.65","185.00","185.00","183.00","0.02K","-1.61%"
"Feb 15, 2022","186.65","187.00","187.00","186.00","0.03K","-1.94%"
"Feb 14, 2022","190.35","194.00","194.00","194.00","0.04K","0.45%"
"Feb 11, 2022","189.50","189.00","189.00","189.00","0.00K","0.72%"
"Feb 10, 2022","188.15","189.00","189.00","189.00","0.01K","0.21%"
"Feb 09, 2022","187.75","189.00","189.00","188.00","0.10K","0.89%"
"Feb 08, 2022","186.10","186.00","187.00","185.50","0.03K","1.97%"
"Feb 07, 2022","182.50","182.00","183.50","178.00","0.18K","-0.27%"
"Feb 04, 2022","183.00","179.50","183.00","179.50","0.17K","3.13%"
"Feb 03, 2022","177.45","180.00","180.00","177.50","0.02K","0.08%"
"Feb 02, 2022","177.30","178.00","178.00","175.50","0.15K","1.60%"
"Feb 01, 2022","174.50","174.00","174.00","170.00","0.27K","-2.10%"
"Jan 31, 2022","178.25","178.00","178.00","173.00","0.17K","7.06%"
"Jan 28, 2022","166.50","166.00","166.50","166.00","0.02K","0.33%"
"Jan 27, 2022","165.95","165.95","165.95","165.95","0.01K","0.00%"
"Jan 26, 2022","165.95","165.75","165.75","165.75","0.09K","0.82%"
"Jan 25, 2022","164.60","165.50","165.50","164.50","0.06K","0.83%"
"Jan 24, 2022","163.25","165.00","165.40","164.50","0.10K","0.74%"
"Jan 21, 2022","162.05","160.00","165.00","160.00","0.08K","1.60%"
"Jan 20, 2022","159.50","161.00","161.00","159.00","0.05K","-1.39%"
"Jan 19, 2022","161.75","161.25","161.25","161.25","0.13K","-0.34%"
"Jan 18, 2022","162.30","162.50","165.00","162.00","0.14K","4.04%"
"Jan 17, 2022","156.00","155.00","158.00","155.00","0.08K","1.30%"
"Jan 14, 2022","154.00","152.00","159.00","152.00","0.30K","3.43%"
"Jan 13, 2022","148.90","143.00","148.90","143.00","0.34K","7.12%"
"Jan 12, 2022","139.00","138.00","138.00","138.00","0.37K","2.21%"
"Jan 11, 2022","136.00","140.05","140.05","136.00","0.04K","-1.84%"
"Jan 10, 2022","138.55","142.95","143.00","142.95","0.06K","-1.18%"
"Jan 07, 2022","140.20","147.00","147.00","139.00","0.16K","-2.30%"
"Jan 06, 2022","143.50","142.50","142.50","142.50","0.06K","4.52%"
"Jan 05, 2022","137.30","134.65","136.00","134.50","0.23K","5.53%"
"Jan 04, 2022","130.10","128.00","130.00","126.00","0.26K","8.42%"
"Jan 03, 2022","120.00","120.00","120.00","120.00","0.00K","-12.76%"
"Dec 31, 2021","137.55","137.55","137.55","137.55","-","-0.33%"
"Dec 30, 2021","138.00","140.00","140.00","140.00","0.01K","-0.25%"
"Dec 29, 2021","138.35","138.50","140.00","138.50","0.01K","2.03%"
"Dec 28, 2021","135.60","135.60","135.60","135.60","-","-3.62%"
"Dec 27, 2021","140.70","140.70","140.70","140.70","-","-0.92%"
"Dec 24, 2021","142.00","142.00","142.00","142.00","-","-0.53%"
"Dec 23, 2021","142.75","144.00","144.00","142.00","0.00K","-2.86%"
"Dec 22, 2021","146.95","148.00","148.00","147.00","0.00K","-0.03%"
"Dec 21, 2021","147.00","147.00","147.00","147.00","0.02K","0.68%"
"Dec 20, 2021","146.00","149.50","149.50","149.00","0.07K","0.00%"
"Dec 17, 2021","146.00","148.00","148.00","148.00","0.02K","-1.28%"
"Dec 16, 2021","147.90","144.00","146.50","144.00","0.06K","4.38%"
"Dec 15, 2021","141.70","140.50","141.50","140.50","0.04K","0.82%"
"Dec 14, 2021","140.55","140.00","140.25","140.00","0.08K","2.97%"
"Dec 13, 2021","136.50","136.50","137.50","136.50","0.03K","1.19%"
"Dec 10, 2021","134.90","134.50","134.50","134.50","0.04K","0.00%"
"Dec 09, 2021","134.90","134.90","134.90","134.90","0.07K","0.26%"
"Dec 08, 2021","134.55","132.50","133.50","132.50","0.33K","4.22%"
"Dec 07, 2021","129.10","129.10","129.10","129.10","0.12K","5.65%"
"Dec 06, 2021","122.20","120.75","122.50","120.75","0.11K","0.58%"
"Dec 03, 2021","121.50","124.50","124.50","121.00","0.03K","-2.21%"
"Dec 02, 2021","124.25","120.00","125.00","120.00","0.09K","0.93%"
"Dec 01, 2021","123.10","112.00","123.00","112.00","0.19K","10.80%"
"Nov 30, 2021","111.10","118.00","118.00","110.00","0.14K","-12.52%"
"Nov 29, 2021","127.00","131.50","131.50","123.00","0.11K","-14.19%"
"Nov 26, 2021","148.00","148.00","148.00","148.00","0.01K","0.00%"
"Nov 25, 2021","148.00","150.00","150.00","150.00","0.01K","-1.07%"
"Nov 24, 2021","149.60","151.00","151.00","149.00","0.03K","-0.27%"
"Nov 23, 2021","150.00","147.50","150.00","147.50","0.10K","2.39%"
"Nov 22, 2021","146.50","145.00","146.50","144.00","0.17K","0.86%"
"Nov 19, 2021","145.25","144.00","144.00","144.00","0.00K","0.35%"
"Nov 18, 2021","144.75","141.00","144.00","141.00","0.10K","1.26%"
