Date,USGC Heavy Sour Coking,NWE Light Sweet Cracking,Singapore Medium Sour Hydrocracking
2021-12-31,11.944903803575754,5.707781707741079,1.784087165358973
2021-09-30,12.284816558272729,3.502022630136017,-0.27863039234836345
2021-06-30,9.684334925446157,1.6025490419419863,-1.520523836307854
2021-03-31,6.226994473312504,0.861936870985574,-1.5841995221695786
2020-12-31,1.558562600030308,0.8185392217195999,-1.3542146024601986
2020-09-30,0.976243874090913,-0.7377086529096101,-2.512868245157252
2020-06-30,-0.12913452193845834,0.21778769683638588,-2.405784402837394
2020-03-31,5.404162967846158,3.1995113745694796,-0.1895466809617236
2019-12-31,7.63,4.32,0.48
2019-09-30,8.72,6.43,5.49
2019-06-30,7.47,4.24,2.27
2019-03-31,2.69,3.69,2.98
2018-12-31,3.405475071242427,4.278570335467321,3.981872881595359
2018-09-30,8.841238862769226,5.214435360215417,4.0093540053782695
2018-06-30,9.055726814030765,4.341323472735876,4.173801315207115
2018-03-31,8.014936752307698,4.411856914828078,5.08049300056676
2017-12-31,7.827022220000004,5.658859839897552,4.4328957897215195
2017-09-30,12.997018211230776,6.944528312132968,5.5185272509753345
2017-06-30,9.46717555907693,5.588338099174604,3.681814939040369
2017-03-31,9.052573952769231,5.28856136462475,3.5737573043478874
2016-12-31,8.327315535846155,5.595218329374694,4.093016087778105
2016-09-30,9.540202560303037,3.3485566870047703,3.2958227825305
2016-06-30,8.991851785076928,4.55706747640146,2.5122097647837434
2016-03-31,7.068993500000004,4.096282032116932,4.5492010416053725
2015-12-31,8.592639350303033,4.737419160925184,5.026595621200999
2015-09-30,16.562098584090915,8.827004880168804,2.363702876027312
2015-06-30,14.702319661230774,7.941707802546386,4.067028423272629
2015-03-31,10.629245632781252,7.376976615204805,6.438431455777516
2014-12-31,3.41,5.52,3.96
2014-09-30,10.72,4.72,1.11
2014-06-30,13.67,2.86,1.33
2014-03-31,7.13,2.6,2.63
2013-12-31,7.59,2.89,1.3
2013-09-30,8.34,3.12,1.8
2013-06-30,10.61,4.54,2.74
2013-03-31,5.88,5.82,4.76
2012-12-31,3.5,6.76,2.93
2012-09-30,13.72,9.26,5.22
2012-06-30,11.07,7.08,2.23
2012-03-31,4.44,4.84,2.35
2011-12-31,-1.14,4.67,3.32
2011-09-30,4.73,2.98,4.41
2011-06-30,8.59,1.92,4.18
2011-03-31,2.59,3.19,4.23
2010-12-31,5.03,4.5,2.32
2010-09-30,4.72,2.59,2.34
2010-06-30,6.59,3.84,0.85
2010-03-31,3.5,4.29,0.97
2009-12-31,1.75,2.69,-1.47
2009-09-30,4.16,2.6,-0.02
2009-06-30,6,3.1,-0.11
2009-03-31,6.69,4.67,2.51
2008-12-31,2.49,7.48,5.16
2008-09-30,9.87,7.13,5.9
2008-06-30,8.59,7.46,9.41
2008-03-31,6.21,4.79,4.76
2007-12-31,6.82,4.84,5.8
2007-09-30,12.58,3.82,4.52
2007-06-30,24.46,7.12,6.01
2007-03-31,10.14,4.16,4.84
2006-12-31,7.92,2.49,2.95
2006-09-30,11.47,4.54,3.58
2006-06-30,17.74,5.78,6.83
2006-03-31,10.86,2.88,3.54
2005-12-31,11.64,5.51,4.42
2005-09-30,17.12,7.78,6.52
2005-06-30,9.37,5.68,6.3
2005-03-31,7.3,2.84,4.98
2004-12-31,5.52,4.72,8.02
2004-09-30,6.99,4.37,5.48
2004-06-30,9.18,5.29,2.8
2004-03-31,6.92,2.73,3.42
2003-12-31,3.52,2.21,2.2
2003-09-30,5.61,2.47,1.27
2003-06-30,3.59,2.14,0.66
2003-03-31,6.14,3.7,2.98
2002-12-31,2.98,2.19,1.41
2002-09-30,1.82,1.28,0.47
2002-06-30,2.62,0.59,0.18
2002-03-31,2.04,0.09,0.2
2001-12-31,1.79,1.53,1.2
2001-09-30,3.24,1.74,0.75
2001-06-30,7.71,3.35,0.96
2001-03-31,6.69,2.35,0.7
2000-12-31,3.78,3.63,2.19
2000-09-30,3.87,3.44,3.19
2000-06-30,5.22,4.26,0.63
2000-03-31,2.7,2.07,2.42
1999-12-31,0.76,1.34,0.46
1999-09-30,1.9,1.43,0.59
1999-06-30,1.48,0.81,0.18
1999-03-31,0.96,1.21,0.79
1998-12-31,1.51,1.93,1.05
1998-09-30,1.79,1.95,0.27
1998-06-30,3.71,2.21,1.62
1998-03-31,2.57,2.34,1.5
1997-12-31,1.67,2,1.43
1997-09-30,3.64,2.32,1.46
1997-06-30,3.14,2.2,2.99
1997-03-31,3.05,1.88,3.73
1996-12-31,2.12,2.54,3.8
1996-09-30,1.41,1.91,2.54
1996-06-30,2.18,1.94,3.68
1996-03-31,1.33,2.04,5.39
1995-12-31,1.14,2.04,3.58
1995-09-30,1.79,1.96,1.99
1995-06-30,2.78,1.67,2.12
1995-03-31,0.62,1.07,2.22
1994-12-31,0.73,1.42,3.09
1994-09-30,1.87,2.02,2
1994-06-30,1.88,1.94,2.7
1994-03-31,2.89,2.48,3.76
1993-12-31,1.88,3.06,4.5
1993-09-30,2.89,2.53,3.8
1993-06-30,3.31,2.56,4.63
1993-03-31,1.96,2.21,4.3
1992-12-31,2.05,2.59,3.88
1992-09-30,2.4,2.28,3.43
1992-06-30,3.35,2.17,3.39
1992-03-31,2.84,2.35,3.33
