Name,Volume of Imports: Steam Coal: Russian Federation,Value of Imports: Steam Coal: Russian Federation,Volume of Imports: Coking Coal: Russian Federation,Value of Imports: Coking Coal: Russian Federation,Value of Imports: Coal: Russian Federation,Volume of Imports: Coal: Russian Federation,Value of Imports: Natural Gas(271121),Volume of Imports: Liquified Natural Gas (LNG): Russian Federation,Value of Imports: Liquified Natural Gas(271111),Volume of Imports: Pipeline Carried Natural Gas (Gaseous State): Russian Federation,Value of Imports: Pipeline Carried Natural Gas (Gaseous State): Russian Federation,Volume of Imports: Crude Oil: Russian Federation,Value of Imports: Crude Oil: Russian Federation
ID,S5103091,S5103096,S5103143,S5103148,S5103050,S5103045,R5881679,S5118566,Z1785825,S5151677,S5151679,S5429087,S5429119
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Unit,ton,USD,ton,USD,USD,ton,USD,kg,USD,kg,USD,kg,USD
Source,China Customs,China Customs,China Customs,China Customs,China Customs,China Customs,Customs Statistics Data Platform,China Customs,Customs Statistics Data Platform,China Customs,China Customs,China Customs,China Customs
Time Period,2004-04:2022-03,2006-09:2022-03,2005-07:2022-03,2006-11:2022-03,2007-02:2022-03,2004-04:2022-03,2017-01:2022-03,2010-01:2022-03,2017-01:2022-03,2019-12:2021-12,2019-12:2022-03,1995-04:2022-03,1995-04:2022-03
Update,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-01-29,2022-04-24,2022-04-24,2022-04-24
1995-04,,,,,,,,,,,,"3,743,701.00","561,555.00"
1995-06,,,,,,,,,,,,"3,872,907.00","576,000.00"
1995-11,,,,,,,,,,,,"24,270,325.00","3,000,184.00"
1995-12,,,,,,,,,,,,"4,642,255.00","620,236.00"
1997-01,,,,,,,,,,,,"4,389,668.00","798,138.00"
1997-02,,,,,,,,,,,,"4,256,538.00","743,047.00"
1997-04,,,,,,,,,,,,"4,851,519.00","630,697.00"
1997-07,,,,,,,,,,,,"22,135,341.00","3,101,027.00"
1997-08,,,,,,,,,,,,"111,416,726.00","15,815,070.00"
