date,destination_region,commodity_group,Pricecap: 2021H1 - EU imports + EU/GB/NO ships,Pricecap: 2021H1 - EU imports only,Pricecap: SRMC - EU imports + EU/GB/NO ships,Pricecap: SRMC - EU imports only,Without price cap,unit
2021-12-01,China,oil,66567798.46476009,66567798.46476009,66567798.46476009,66567798.46476009,66567798.46476009,EUR
2021-12-01,EU,coal,2566913.3145807623,2566913.3145807623,2566913.3145807623,2566913.3145807623,2566913.3145807623,EUR
2021-12-01,EU,gas,216889880.5265132,216889880.5265132,216889880.5265132,216889880.5265132,216889880.5265132,EUR
2021-12-01,EU,oil,121379171.81688033,121379171.81688033,121379171.81688033,121379171.81688033,121379171.81688033,EUR
2021-12-01,Others,coal,4930625.316476345,4930625.316476345,4930625.316476345,4930625.316476345,4930625.316476345,EUR
2021-12-01,Others,gas,2787865.4227527184,2787865.4227527184,2787865.4227527184,2787865.4227527184,2787865.4227527184,EUR
2021-12-01,Others,oil,70976167.68986872,70976167.68986872,70976167.68986872,70976167.68986872,70976167.68986872,EUR
2021-12-01,Turkey,coal,733758.0319801985,733758.0319801985,733758.0319801985,733758.0319801985,733758.0319801985,EUR
2021-12-01,Turkey,gas,20487550.15837969,20487550.15837969,20487550.15837969,20487550.15837969,20487550.15837969,EUR
2021-12-01,United States,oil,44339173.51598716,44339173.51598716,44339173.51598716,44339173.51598716,44339173.51598716,EUR
2021-12-02,China,oil,185152578.87641203,185152578.87641203,185152578.87641203,185152578.87641203,185152578.87641203,EUR
2021-12-02,EU,coal,2559709.1849964983,2559709.1849964983,2559709.1849964983,2559709.1849964983,2559709.1849964983,EUR
2021-12-02,EU,gas,218704736.35985887,218704736.35985887,218704736.35985887,218704736.35985887,218704736.35985887,EUR
2021-12-02,EU,oil,116827858.09530978,116827858.09530978,116827858.09530978,116827858.09530978,116827858.09530978,EUR
2021-12-02,Others,gas,2787464.3448221395,2787464.3448221395,2787464.3448221395,2787464.3448221395,2787464.3448221395,EUR
2021-12-02,Others,oil,34803977.65352608,34803977.65352608,34803977.65352608,34803977.65352608,34803977.65352608,EUR
2021-12-02,Turkey,gas,20607633.72183316,20607633.72183316,20607633.72183316,20607633.72183316,20607633.72183316,EUR
2021-12-03,China,coal,4523827.218139743,4523827.218139743,4523827.218139743,4523827.218139743,4523827.218139743,EUR
2021-12-03,EU,coal,7866805.786832954,7866805.786832954,7866805.786832954,7866805.786832954,7866805.786832954,EUR
2021-12-03,EU,gas,223314279.43844238,223314279.43844238,223314279.43844238,223314279.43844238,223314279.43844238,EUR
2021-12-03,EU,oil,120337954.69063912,120337954.69063912,120337954.69063912,120337954.69063912,120337954.69063912,EUR
2021-12-03,Others,gas,6848712.610558449,6848712.610558449,6848712.610558449,6848712.610558449,6848712.610558449,EUR
2021-12-03,Others,oil,78194775.03722437,78194775.03722437,78194775.03722437,78194775.03722437,78194775.03722437,EUR
2021-12-03,South Korea,gas,47178360.48056127,47178360.48056127,47178360.48056127,47178360.48056127,47178360.48056127,EUR
2021-12-03,South Korea,oil,22307053.05144917,22307053.05144917,22307053.05144917,22307053.05144917,22307053.05144917,EUR
2021-12-03,Turkey,coal,6812002.869271075,6812002.869271075,6812002.869271075,6812002.869271075,6812002.869271075,EUR
2021-12-03,Turkey,gas,20663739.270900182,20663739.270900182,20663739.270900182,20663739.270900182,20663739.270900182,EUR
2021-12-03,Turkey,oil,4226595.537667091,4226595.537667091,4226595.537667091,4226595.537667091,4226595.537667091,EUR
2021-12-03,United Kingdom,coal,916568.172593136,916568.172593136,916568.172593136,916568.172593136,916568.172593136,EUR
2021-12-04,EU,coal,19580980.038649816,19580980.038649816,19580980.038649816,19580980.038649816,19580980.038649816,EUR
2021-12-04,EU,gas,210319607.78213498,210319607.78213498,210319607.78213498,210319607.78213498,210319607.78213498,EUR
