date,from,value_m3
2021-01-01,Algeria,82079751.75415224
2021-01-01,Azerbaijan,11269270.894395594
2021-01-01,Libya,7781291.677768895
2021-01-01,LNG,139009240.50981438
2021-01-01,Morocco,19033153.38840039
2021-01-01,Norway,195600076.89848122
2021-01-01,Russia,405851940.89892524
2021-01-01,United Kingdom,-17915592.859046098
2021-01-02,Algeria,77439083.3999467
2021-01-02,Azerbaijan,10887528.643751664
2021-01-02,Libya,7808992.184030553
2021-01-02,LNG,147285361.14219734
2021-01-02,Morocco,16202322.053468335
2021-01-02,Norway,197959220.39257482
2021-01-02,Russia,404300264.1868727
2021-01-02,United Kingdom,-18811845.279332086
2021-01-03,Algeria,61802829.913846694
2021-01-03,Azerbaijan,12006647.304378718
2021-01-03,Libya,7793174.171773692
2021-01-03,LNG,165822566.0005329
2021-01-03,Morocco,13997003.10862421
2021-01-03,Norway,198391203.55271336
2021-01-03,Russia,411333733.804956
2021-01-03,United Kingdom,-16111260.23625544
2021-01-04,Algeria,49964126.21014299
2021-01-04,Azerbaijan,12007158.36219913
2021-01-04,Libya,8269163.868904876
2021-01-04,LNG,193684763.06954435
2021-01-04,Morocco,12269348.165911715
2021-01-04,Norway,191385488.1694644
2021-01-04,Russia,409033817.00888175
2021-01-04,United Kingdom,-16585719.246824764
2021-01-05,Algeria,48057370.015099034
2021-01-05,Azerbaijan,13510206.590283329
2021-01-05,Libya,7779761.968203215
2021-01-05,LNG,195735345.43032238
2021-01-05,Morocco,12869012.967403855
2021-01-05,Norway,190604766.47126743
2021-01-05,Russia,413481380.87627673
2021-01-05,United Kingdom,-22618777.955413446
2021-01-06,Algeria,50889288.12505551
2021-01-06,Azerbaijan,14379867.661426414
2021-01-06,Libya,6806705.924149569
2021-01-06,LNG,194201948.3879563
2021-01-06,Morocco,8119254.374278354
2021-01-06,Norway,189288889.06652457
2021-01-06,Russia,412398732.8316902
2021-01-06,United Kingdom,-22105957.36743938
2021-01-07,Algeria,59594746.86917133
2021-01-07,Azerbaijan,14898133.137934096
2021-01-07,Libya,7777202.859934274
2021-01-07,LNG,244497540.2700062
2021-01-07,Morocco,8851258.992805755
2021-01-07,Norway,180864531.81454837
2021-01-07,Russia,415779132.166267
2021-01-07,United Kingdom,-1732937.116973091
2021-01-08,Algeria,77218799.62696509
2021-01-08,Azerbaijan,14810057.998046009
2021-01-08,Libya,7783007.904787281
2021-01-08,LNG,181263411.85718092
2021-01-08,Morocco,13974257.216449063
2021-01-08,Norway,189211233.58202326
2021-01-08,Russia,417111563.30402344
2021-01-08,United Kingdom,-2059382.360778045
2021-01-09,Algeria,89394398.79207745
2021-01-09,Azerbaijan,14297911.359801048
2021-01-09,Libya,7780988.364863665
2021-01-09,LNG,149355059.13491428
2021-01-09,Morocco,20761842.17070788
2021-01-09,Norway,191298567.42161825
2021-01-09,Russia,415954283.22852826
2021-01-09,United Kingdom,-21420877.34257039
2021-01-10,Algeria,89911184.82991384
2021-01-10,Azerbaijan,14320776.179056754
2021-01-10,Libya,8759903.987920774
2021-01-10,LNG,129444557.74047428
2021-01-10,Morocco,21432846.43396394
2021-01-10,Norway,193401870.43254283
2021-01-10,Russia,412864945.78701484
2021-01-10,United Kingdom,-24370429.967137396
2021-01-11,Algeria,84850898.48121503
2021-01-11,Azerbaijan,14718675.814903632
2021-01-11,Libya,12126610.267341685
2021-01-11,LNG,162083997.10453856
2021-01-11,Morocco,24230592.77022826
2021-01-11,Norway,188103254.88054
2021-01-11,Russia,417216220.433431
2021-01-11,United Kingdom,-14532633.182343012
2021-01-12,Algeria,72512500.84376943
2021-01-12,Azerbaijan,15697152.056132872
2021-01-12,Libya,12616425.259792166
2021-01-12,LNG,198812625.89039877
2021-01-12,Morocco,18220504.218847144
2021-01-12,Norway,192505728.54605204
2021-01-12,Russia,419434631.69997334
2021-01-12,United Kingdom,-22629653.610444978
2021-01-13,Algeria,67158217.42605914
2021-01-13,Azerbaijan,16140753.530508926
2021-01-13,Libya,11148282.795985434
2021-01-13,LNG,206345646.9935163
2021-01-13,Morocco,14399192.112976285
2021-01-13,Norway,194217951.72750688
2021-01-13,Russia,422188600.95212716
2021-01-13,United Kingdom,-33639761.08002487
2021-01-14,Algeria,66067616.7510436
2021-01-14,Azerbaijan,16158649.080735411
2021-01-14,Libya,9688230.393463006
2021-01-14,LNG,189190653.24629182
2021-01-14,Morocco,14941992.095212718
2021-01-14,Norway,195770701.48325783
2021-01-14,Russia,426380132.370548
2021-01-14,United Kingdom,-33883593.125499606
2021-01-15,Algeria,74160902.65565325
2021-01-15,Azerbaijan,16160747.046807
2021-01-15,Libya,8244974.509281464
2021-01-15,LNG,189008263.35376143
2021-01-15,Morocco,17858637.53441691
2021-01-15,Norway,181594133.6175504
2021-01-15,Russia,434724248.24567014
2021-01-15,United Kingdom,-34184661.78168576
2021-01-16,Algeria,80937244.60431653
2021-01-16,Azerbaijan,16143591.260325072
2021-01-16,Libya,5327446.1319833025
2021-01-16,LNG,141847640.4387601
2021-01-16,Morocco,19084848.654409803
2021-01-16,Norway,181429255.33351097
2021-01-16,Russia,433802321.01429963
2021-01-16,United Kingdom,-30707364.863664623
2021-01-17,Algeria,80454822.80841993
2021-01-17,Azerbaijan,16133175.326405542
2021-01-17,Libya,8220593.569588773
2021-01-17,LNG,130496768.30091482
2021-01-17,Morocco,18636133.93729461
2021-01-17,Norway,192380435.73141485
2021-01-17,Russia,434504900.2495781
2021-01-17,United Kingdom,-26576270.45030642
2021-01-18,Algeria,76142351.09690025
2021-01-18,Azerbaijan,16152647.837285727
2021-01-18,Libya,8709805.400124345
2021-01-18,LNG,176463016.6089351
2021-01-18,Morocco,17683907.629451994
2021-01-18,Norway,194294244.98623323
2021-01-18,Russia,433598101.2621014
2021-01-18,United Kingdom,-23048464.694910735
2021-01-19,Algeria,72424915.80069278
2021-01-19,Azerbaijan,16136219.468869347
2021-01-19,Libya,7270301.714184208
2021-01-19,LNG,164719979.98934186
2021-01-19,Morocco,17405787.19246825
2021-01-19,Norway,194577590.4343192
2021-01-19,Russia,431372691.937117
2021-01-19,United Kingdom,-16981751.310063064
2021-01-20,Algeria,73983712.58548716
2021-01-20,Azerbaijan,16136354.916067146
2021-01-20,Libya,7256164.934718891
2021-01-20,LNG,141621783.75521803
2021-01-20,Morocco,16718240.518696154
2021-01-20,Norway,200977040.1190159
2021-01-20,Russia,426656155.5110578
2021-01-20,United Kingdom,-5779815.791810997
2021-01-21,Algeria,68440013.76676436
2021-01-21,Azerbaijan,16133511.945998756
2021-01-21,Libya,7252000.799360512
2021-01-21,LNG,145136348.93862686
2021-01-21,Morocco,15006094.235722532
2021-01-21,Norway,194568301.80300203
2021-01-21,Russia,427121073.8994582
2021-01-21,United Kingdom,-17266922.90611955
2021-01-22,Algeria,65329889.865885064
2021-01-22,Azerbaijan,16139918.465227818
2021-01-22,Libya,8225104.538591349
2021-01-22,LNG,117573426.97397637
2021-01-22,Morocco,14750719.690913934
2021-01-22,Norway,196564491.44684252
2021-01-22,Russia,421110171.69020337
2021-01-22,United Kingdom,-21646881.428190775
2021-01-23,Algeria,74151866.86206591
2021-01-23,Azerbaijan,16215998.401278976
2021-01-23,Libya,7252267.874589217
2021-01-23,LNG,98690294.92850164
2021-01-23,Morocco,17612568.16768807
2021-01-23,Norway,194316532.40074608
2021-01-23,Russia,414270819.6456168
2021-01-23,United Kingdom,-21390619.149125144
2021-01-24,Algeria,78783136.24655831
2021-01-24,Azerbaijan,16176134.55901945
2021-01-24,Libya,7255978.417266187
2021-01-24,LNG,90705784.11937116
2021-01-24,Morocco,17799704.94715339
2021-01-24,Norway,159345365.4054534
2021-01-24,Russia,414251697.7964295
2021-01-24,United Kingdom,-21420250.9103828
2021-01-25,Algeria,78475442.49045208
2021-01-25,Azerbaijan,16225705.92414957
2021-01-25,Libya,10628130.029309886
2021-01-25,LNG,124124143.23652188
2021-01-25,Morocco,19134476.06359357
2021-01-25,Norway,181356863.99324983
2021-01-25,Russia,421042963.1937117
2021-01-25,United Kingdom,-21839791.10045297
2021-01-26,Algeria,83617848.3879563
2021-01-26,Azerbaijan,16337861.888267163
2021-01-26,Libya,10635338.040678568
2021-01-26,LNG,143949866.3202771
2021-01-26,Morocco,21101996.891375788
2021-01-26,Norway,190518153.4772182
2021-01-26,Russia,426201593.90656364
2021-01-26,United Kingdom,-22321060.484945375
2021-01-27,Algeria,85776950.17319477
2021-01-27,Azerbaijan,16077842.79243272
2021-01-27,Libya,7744514.432898126
2021-01-27,LNG,130304303.81916688
2021-01-27,Morocco,21397693.66728839
2021-01-27,Norway,191986038.72457588
2021-01-27,Russia,429144318.37374544
2021-01-27,United Kingdom,-19923132.693844926
2021-01-28,Algeria,86228891.81987743
2021-01-28,Azerbaijan,16084615.24114042
2021-01-28,Libya,7752536.81499245
2021-01-28,LNG,127291324.12292388
2021-01-28,Morocco,21617915.356603604
2021-01-28,Norway,195051530.50892618
2021-01-28,Russia,427437239.335909
2021-01-28,United Kingdom,-3535273.825384142
2021-01-29,Algeria,86682909.58344436
2021-01-29,Azerbaijan,16086316.72439826
2021-01-29,Libya,7792838.795630163
2021-01-29,LNG,119869328.37729816
2021-01-29,Morocco,22899957.278621547
2021-01-29,Norway,197543451.3011813
2021-01-29,Russia,427063812.7415401
2021-01-29,United Kingdom,-12121804.067856824
2021-01-30,Algeria,86183451.46105337
2021-01-30,Azerbaijan,15839333.955058176
2021-01-30,Libya,7785971.578292921
2021-01-30,LNG,95673911.56408207
2021-01-30,Morocco,22078003.019806378
2021-01-30,Norway,198278589.48396838
2021-01-30,Russia,423083460.0623501
