date,commodity_origin_country,Crude oil,Oil products and chemicals,unit
2022-01-01,Russia,226134,0,tonne
2022-01-01,Turkey,0,0,tonne
2022-01-02,Russia,113226,0,tonne
2022-01-02,Turkey,0,0,tonne
2022-01-03,Russia,0,0,tonne
2022-01-03,Turkey,0,0,tonne
2022-01-04,Russia,111013,0,tonne
2022-01-04,Turkey,0,0,tonne
2022-01-05,Russia,113172,0,tonne
2022-01-05,Turkey,0,0,tonne
2022-01-06,Russia,336000,0,tonne
2022-01-06,Turkey,0,0,tonne
2022-01-07,Russia,0,25084,tonne
2022-01-07,Turkey,0,0,tonne
2022-01-08,Russia,0,0,tonne
2022-01-08,Turkey,0,0,tonne
2022-01-09,Russia,223070,57622,tonne
2022-01-09,Turkey,0,0,tonne
2022-01-10,Russia,113563,0,tonne
2022-01-10,Turkey,0,0,tonne
2022-01-11,Russia,0,39067,tonne
2022-01-11,Turkey,0,0,tonne
2022-01-12,Russia,111107,0,tonne
2022-01-12,Turkey,0,0,tonne
2022-01-13,Russia,0,0,tonne
2022-01-13,Turkey,0,0,tonne
2022-01-14,Russia,226958,0,tonne
2022-01-14,Turkey,0,0,tonne
2022-01-15,Russia,113232,0,tonne
2022-01-15,Turkey,0,0,tonne
2022-01-16,Russia,0,0,tonne
2022-01-16,Turkey,0,0,tonne
2022-01-17,Russia,0,81693,tonne
2022-01-17,Turkey,0,0,tonne
2022-01-18,Russia,111004,0,tonne
2022-01-18,Turkey,0,0,tonne
2022-01-19,Russia,226321,0,tonne
2022-01-19,Turkey,0,0,tonne
2022-01-20,Russia,109999,0,tonne
2022-01-20,Turkey,0,0,tonne
2022-01-21,Russia,223229,79625,tonne
2022-01-21,Turkey,0,0,tonne
2022-01-22,Russia,0,49999,tonne
2022-01-22,Turkey,0,0,tonne
2022-01-23,Russia,0,6658.881416202337,tonne
2022-01-23,Turkey,0,0,tonne
2022-01-24,Russia,0,0,tonne
2022-01-24,Turkey,0,0,tonne
2022-01-25,Russia,0,38734,tonne
2022-01-25,Turkey,0,0,tonne
2022-01-26,Russia,0,19999,tonne
2022-01-26,Turkey,0,0,tonne
2022-01-27,Russia,113170,0,tonne
2022-01-27,Turkey,0,0,tonne
2022-01-28,Russia,0,0,tonne
2022-01-28,Turkey,0,0,tonne
2022-01-29,Russia,0,0,tonne
2022-01-29,Turkey,0,0,tonne
2022-01-30,Russia,0,97235,tonne
2022-01-30,Turkey,0,0,tonne
2022-01-31,Russia,114795,0,tonne
2022-01-31,Turkey,0,0,tonne
2022-02-01,Russia,109900,0,tonne
2022-02-01,Turkey,0,0,tonne
2022-02-02,Russia,113095,37822,tonne
2022-02-02,Turkey,0,0,tonne
2022-02-03,Russia,226275,0,tonne
2022-02-03,Turkey,0,0,tonne
2022-02-04,Russia,0,0,tonne
2022-02-04,Turkey,0,0,tonne
2022-02-05,Russia,225941,52725,tonne
2022-02-05,Turkey,0,0,tonne
2022-02-06,Russia,221390,0,tonne
2022-02-06,Turkey,0,0,tonne
2022-02-07,Russia,0,0,tonne
2022-02-07,Turkey,0,0,tonne
2022-02-08,Russia,0,0,tonne
2022-02-08,Turkey,0,0,tonne
2022-02-09,Russia,73965,0,tonne
2022-02-09,Turkey,0,0,tonne
2022-02-10,Russia,0,0,tonne
2022-02-10,Turkey,0,0,tonne
2022-02-11,Russia,113170,0,tonne
2022-02-11,Turkey,0,0,tonne
2022-02-12,Russia,111013,47872,tonne
2022-02-12,Turkey,0,0,tonne
2022-02-13,Russia,223904,0,tonne
2022-02-13,Turkey,0,0,tonne
2022-02-14,Russia,0,50922,tonne
2022-02-14,Turkey,0,0,tonne
2022-02-15,Russia,109900,37297,tonne
2022-02-15,Turkey,0,0,tonne
2022-02-16,Russia,113159,43550,tonne
2022-02-16,Turkey,0,0,tonne
2022-02-17,Russia,112504,0,tonne
2022-02-17,Turkey,0,0,tonne
2022-02-18,Russia,0,0,tonne
2022-02-18,Turkey,0,0,tonne
2022-02-19,Russia,323143,0,tonne
