date,commodity_origin_country,Crude oil,Oil products and chemicals,unit
2022-01-01,Russia,0,47011,tonne
2022-01-02,Russia,0,0,tonne
2022-01-03,Russia,112922,44122,tonne
2022-01-04,Russia,0,14023,tonne
2022-01-05,Russia,0,66729,tonne
2022-01-06,Russia,0,34622,tonne
2022-01-07,Russia,0,0,tonne
2022-01-08,Russia,115567,53427,tonne
2022-01-09,Russia,115873,44710,tonne
2022-01-10,Russia,0,0,tonne
2022-01-11,Russia,0,14836,tonne
2022-01-12,Russia,115896,0,tonne
2022-01-13,Russia,0,49999,tonne
2022-01-14,Russia,38512,6574,tonne
2022-01-15,Russia,0,14421,tonne
2022-01-16,Russia,0,0,tonne
2022-01-17,Russia,0,0,tonne
2022-01-18,Russia,0,7013,tonne
2022-01-19,Russia,0,38396,tonne
2022-01-20,Russia,108402,40007,tonne
2022-01-21,Russia,0,5558,tonne
2022-01-22,Russia,0,0,tonne
2022-01-23,Russia,0,0,tonne
2022-01-24,Russia,0,6526,tonne
2022-01-25,Russia,0,42857,tonne
2022-01-26,Russia,0,14020,tonne
2022-01-27,Russia,267001,6573,tonne
2022-01-28,Russia,0,74971,tonne
2022-01-29,Russia,0,40158,tonne
2022-01-30,Russia,0,50643,tonne
2022-01-31,Russia,0,7786,tonne
2022-02-01,Russia,158640,0,tonne
2022-02-02,Russia,0,12686,tonne
2022-02-03,Russia,0,39575,tonne
2022-02-04,Russia,0,6640,tonne
2022-02-05,Russia,0,5468,tonne
2022-02-06,Russia,112829,7032,tonne
2022-02-07,Russia,0,99943,tonne
2022-02-08,Russia,0,0,tonne
2022-02-09,Russia,38512,6573,tonne
2022-02-10,Russia,0,6526,tonne
2022-02-11,Russia,0,12668,tonne
2022-02-12,Russia,0,0,tonne
2022-02-13,Russia,0,0,tonne
2022-02-14,Russia,0,20329,tonne
2022-02-15,Russia,0,12933,tonne
2022-02-16,Russia,0,11941,tonne
2022-02-17,Russia,0,6980,tonne
2022-02-18,Russia,0,66745,tonne
2022-02-19,Russia,0,45349,tonne
2022-02-20,Russia,0,50559,tonne
2022-02-21,Russia,0,7013,tonne
2022-02-22,Russia,0,14210,tonne
2022-02-23,Russia,158018,6526,tonne
2022-02-24,Russia,78551,12007,tonne
2022-02-25,Russia,0,7070,tonne
2022-02-26,Russia,0,0,tonne
2022-02-27,Russia,0,0,tonne
2022-02-28,Russia,158099,96323,tonne
2022-03-01,Russia,0,43142,tonne
2022-03-02,Russia,0,0,tonne
2022-03-03,Russia,0,43158,tonne
2022-03-04,Russia,0,7441,tonne
2022-03-05,Russia,0,5468,tonne
2022-03-06,Russia,0,0,tonne
2022-03-07,Russia,0,13578,tonne
2022-03-08,Russia,0,40158,tonne
2022-03-09,Russia,0,0,tonne
2022-03-10,Russia,0,6308,tonne
2022-03-11,Russia,0,0,tonne
2022-03-12,Russia,15151.8743994353,76905,tonne
2022-03-13,Russia,0,0,tonne
2022-03-14,Russia,0,54618,tonne
2022-03-15,Russia,0,0,tonne
2022-03-16,Russia,112937,37874,tonne
2022-03-17,Russia,0,7111,tonne
2022-03-18,Russia,0,39999,tonne
2022-03-19,Russia,0,0,tonne
2022-03-20,Russia,0,45756,tonne
2022-03-21,Russia,0,0,tonne
2022-03-22,Russia,158099,37313,tonne
2022-03-23,Russia,0,0,tonne
2022-03-24,Russia,0,7441,tonne
2022-03-25,Russia,0,37296,tonne
2022-03-26,Russia,0,0,tonne
2022-03-27,Russia,0,44399,tonne
2022-03-28,Russia,0,7073,tonne
2022-03-29,Russia,0,40030,tonne
2022-03-30,Russia,0,0,tonne
2022-03-31,Russia,0,38375,tonne
2022-04-01,Russia,0,0,tonne
2022-04-02,Russia,0,0,tonne
2022-04-03,Russia,113850,0,tonne
2022-04-04,Russia,0,14079,tonne
2022-04-05,Russia,0,44928,tonne
2022-04-06,Russia,0,7431,tonne
2022-04-07,Russia,0,0,tonne
2022-04-08,Russia,9195.711634903038,13438,tonne
2022-04-09,Russia,113816,0,tonne
2022-04-10,Russia,7947.3105868517,0,tonne
2022-04-11,Russia,0,7022,tonne
2022-04-12,Russia,0,77999.57229227715,tonne
2022-04-13,Russia,118175,7110,tonne
2022-04-14,Russia,0,35647,tonne
2022-04-15,Russia,0,37371,tonne
2022-04-16,Russia,0,44895,tonne
2022-04-17,Russia,0,0,tonne
2022-04-18,Russia,112829,5468,tonne
2022-04-19,Russia,0,18041,tonne
2022-04-20,Russia,111013,13587,tonne
2022-04-21,Russia,0,37296,tonne
2022-04-22,Russia,0,37258,tonne
2022-04-23,Russia,0,15043,tonne
2022-04-24,Russia,0,14136,tonne
2022-04-25,Russia,218274,37596,tonne
2022-04-26,Russia,0,7004,tonne
2022-04-27,Russia,0,0,tonne
2022-04-28,Russia,105804,45472,tonne
2022-04-29,Russia,0,40410,tonne
2022-04-30,Russia,216909,7074,tonne
2022-05-01,Russia,0,0,tonne
2022-05-02,Russia,0,37319,tonne
2022-05-03,Russia,0,39378,tonne
2022-05-04,Russia,0,47132,tonne
2022-05-05,Russia,0,0,tonne
2022-05-06,Russia,0,7022,tonne
2022-05-07,Russia,115904,0,tonne
2022-05-08,Russia,0,40099,tonne
2022-05-09,Russia,0,44864,tonne
2022-05-10,Russia,115484,6589,tonne
2022-05-11,Russia,0,0,tonne
2022-05-12,Russia,114385,37371,tonne
2022-05-13,Russia,0,6980,tonne
2022-05-14,Russia,0,37320,tonne
2022-05-15,Russia,113850,37312,tonne
2022-05-16,Russia,0,46858,tonne
2022-05-17,Russia,0,5468,tonne
2022-05-18,Russia,107157,0,tonne
2022-05-19,Russia,0,7031,tonne
2022-05-20,Russia,109919,7050,tonne
2022-05-21,Russia,109985,0,tonne
2022-05-22,Russia,0,7004,tonne
2022-05-23,Russia,0,0,tonne
2022-05-24,Russia,0,0,tonne
2022-05-25,Russia,219074,7003,tonne
2022-05-26,Russia,115281,0,tonne
2022-05-27,Russia,0,7070,tonne
2022-05-28,Russia,0,0,tonne
2022-05-29,Russia,0,0,tonne
2022-05-30,Russia,0,7026,tonne
2022-05-31,Russia,0,6526,tonne
2022-06-01,Russia,0,5468,tonne
2022-06-02,Russia,0,50923,tonne
2022-06-03,Russia,0,0,tonne
2022-06-04,Russia,113004,13728,tonne
2022-06-05,Russia,0,40543,tonne
2022-06-06,Russia,113021,0,tonne
2022-06-07,Russia,0,7053,tonne
2022-06-08,Russia,0,0,tonne
2022-06-09,Russia,0,0,tonne
2022-06-10,Russia,0,44405,tonne
2022-06-11,Russia,262647,0,tonne
2022-06-12,Russia,0,0,tonne
2022-06-13,Russia,0,0,tonne
2022-06-14,Russia,0,51260,tonne
2022-06-15,Russia,158546,0,tonne
2022-06-16,Russia,0,43158,tonne
2022-06-17,Russia,0,7026,tonne
2022-06-18,Russia,0,7718,tonne
2022-06-19,Russia,0,39378,tonne
2022-06-20,Russia,0,13606,tonne
2022-06-21,Russia,0,13206,tonne
2022-06-22,Russia,0,6308,tonne
2022-06-23,Russia,105746,37627,tonne
2022-06-24,Russia,114795,0,tonne
2022-06-25,Russia,159901,7074,tonne
2022-06-26,Russia,0,0,tonne
2022-06-27,Russia,0,0,tonne
2022-06-28,Russia,0,93924,tonne
2022-06-29,Russia,0,6614,tonne
2022-06-30,Russia,0,7031,tonne
2022-07-01,Russia,0,0,tonne
2022-07-02,Russia,109900,0,tonne
2022-07-03,Russia,0,34801,tonne
2022-07-04,Russia,157447,5519,tonne
2022-07-05,Russia,0,0,tonne
2022-07-06,Russia,0,0,tonne
2022-07-07,Russia,103232,0,tonne
2022-07-08,Russia,113170,116383,tonne
2022-07-09,Russia,105200,0,tonne
2022-07-10,Russia,0,88557,tonne
2022-07-11,Russia,0,7032,tonne
2022-07-12,Russia,0,0,tonne
2022-07-13,Russia,0,0,tonne
2022-07-14,Russia,0,0,tonne
2022-07-15,Russia,0,0,tonne
2022-07-16,Russia,0,75806,tonne
2022-07-17,Russia,0,5562,tonne
2022-07-18,Russia,0,6166,tonne
2022-07-19,Russia,74548,0,tonne
2022-07-20,Russia,107123,0,tonne
2022-07-21,Russia,0,39378,tonne
2022-07-22,Russia,0,0,tonne
2022-07-23,Russia,149999,7032,tonne
2022-07-24,Russia,0,0,tonne
2022-07-25,Russia,0,42008,tonne
2022-07-26,Russia,105200,77005,tonne
2022-07-27,Russia,0,0,tonne
2022-07-28,Russia,157539,0,tonne
2022-07-29,Russia,0,0,tonne
2022-07-30,Russia,0,6099.473086720567,tonne
2022-07-31,Russia,0,0,tonne
2022-08-01,Russia,0,13328,tonne
2022-08-02,Russia,0,88252,tonne
2022-08-03,Russia,0,7899,tonne
2022-08-04,Russia,0,0,tonne
2022-08-05,Russia,157447,0,tonne
2022-08-06,Russia,0,0,tonne
2022-08-07,Russia,0,0,tonne
2022-08-08,Russia,0,0,tonne
2022-08-09,Russia,107574,74997,tonne
2022-08-10,Russia,0,0,tonne
2022-08-11,Russia,0,0,tonne
2022-08-12,Russia,0,6308,tonne
2022-08-13,Russia,273521,39999,tonne
2022-08-14,Russia,149995,0,tonne
2022-08-15,Russia,0,64650,tonne
2022-08-16,Russia,0,6586,tonne
2022-08-17,Russia,0,0,tonne
2022-08-18,Russia,0,39378,tonne
2022-08-19,Russia,103194,76361,tonne
2022-08-20,Russia,0,7004,tonne
2022-08-21,Russia,0,7102,tonne
2022-08-22,Russia,0,0,tonne
2022-08-23,Russia,0,37857,tonne
2022-08-24,Russia,157447,5562,tonne
2022-08-25,Russia,71411,46256,tonne
2022-08-26,Russia,107181,40327,tonne
2022-08-27,Russia,0,0,tonne
2022-08-28,Russia,0,0,tonne
2022-08-29,Russia,0,0,tonne
2022-08-30,Russia,0,5558,tonne
2022-08-31,Russia,212610,45033,tonne
2022-09-01,Russia,0,64851,tonne
2022-09-02,Russia,0,14035,tonne
2022-09-03,Russia,105849,37627,tonne
2022-09-04,Russia,0,0,tonne
2022-09-05,Russia,0,0,tonne
2022-09-06,Russia,0,0,tonne
2022-09-07,Russia,157447,51337,tonne
2022-09-08,Russia,0,0,tonne
2022-09-09,Russia,0,0,tonne
2022-09-10,Russia,107023,37596,tonne
2022-09-11,Russia,0,0,tonne
2022-09-12,Russia,156949,51000,tonne
2022-09-13,Russia,0,0,tonne
2022-09-14,Russia,0,7902,tonne
2022-09-15,Russia,0,37296,tonne
2022-09-16,Russia,187461,0,tonne
2022-09-17,Russia,0,0,tonne
2022-09-18,Russia,0,43355,tonne
2022-09-19,Russia,157447,0,tonne
2022-09-20,Russia,0,0,tonne
2022-09-21,Russia,0,83576,tonne
2022-09-22,Russia,0,0,tonne
2022-09-23,Russia,115723,0,tonne
2022-09-24,Russia,0,82925,tonne
2022-09-25,Russia,0,13500,tonne
2022-09-26,Russia,115281,14002,tonne
2022-09-27,Russia,0,7070,tonne
2022-09-28,Russia,107123,47323,tonne
2022-09-29,Russia,0,38396,tonne
2022-09-30,Russia,0,42700,tonne
2022-10-01,Russia,0,77673,tonne
2022-10-02,Russia,0,0,tonne
2022-10-03,Russia,0,43890,tonne
2022-10-04,Russia,263292,7970,tonne
2022-10-05,Russia,0,0,tonne
2022-10-06,Russia,0,0,tonne
2022-10-07,Russia,0,0,tonne
2022-10-08,Russia,264541,14045,tonne
2022-10-09,Russia,0,7004,tonne
2022-10-10,Russia,0,0,tonne
2022-10-11,Russia,115395,40099,tonne
2022-10-12,Russia,0,37627,tonne
2022-10-13,Russia,157447,0,tonne
2022-10-14,Russia,0,6573,tonne
2022-10-15,Russia,0,0,tonne
2022-10-16,Russia,0,0,tonne
2022-10-17,Russia,0,0,tonne
2022-10-18,Russia,0,0,tonne
2022-10-19,Russia,0,0,tonne
2022-10-20,Russia,114700,59583,tonne
2022-10-21,Russia,0,7004,tonne
2022-10-22,Russia,0,0,tonne
2022-10-23,Russia,105472,0,tonne
2022-10-24,Russia,0,0,tonne
2022-10-25,Russia,0,46443,tonne
2022-10-26,Russia,109900,7056,tonne
2022-10-27,Russia,115812,0,tonne
2022-10-28,Russia,0,45822,tonne
2022-10-29,Russia,0,34801,tonne
2022-10-30,Russia,0,0,tonne
2022-10-31,Russia,157447,0,tonne
2022-11-01,Russia,0,37434,tonne
2022-11-02,Russia,107023,0,tonne
2022-11-03,Russia,158670,0,tonne
2022-11-04,Russia,0,47135,tonne
2022-11-05,Russia,0,6527.173748966148,tonne
2022-11-06,Russia,0,6183,tonne
2022-11-07,Russia,113000,87404,tonne
